serial_time	550_nm	680_nm	 
736865.953391203660	9.06	4.76	
736865.953402777780	9.07	4.76	
736865.953414351800	9.09	4.76	
736865.953425925920	9.11	4.76	
736865.953437500050	9.14	4.76	
736865.953449074060	9.14	4.75	
736865.953460648190	9.15	4.74	
736865.953472222200	9.17	4.74	
736865.953483796330	9.17	4.74	
736865.953495370340	9.17	4.74	
736865.953506944470	9.17	4.73	
736865.953518518480	9.16	4.72	
736865.953530092610	9.16	4.73	
736865.953541666620	9.17	4.73	
736865.953553240750	9.17	4.73	
736865.953564814760	9.16	4.72	
736865.953576388890	9.17	4.72	
736865.953587963010	9.16	4.73	
736865.953599537020	9.16	4.73	
736865.953611111150	9.15	4.72	
736865.953622685160	9.14	4.72	
736865.953634259290	9.13	4.71	
736865.953645833300	9.13	4.71	
736865.953657407430	9.12	4.71	
736865.953668981440	9.12	4.70	
736865.953680555570	9.11	4.71	
736865.953692129580	9.10	4.71	
736865.953703703710	9.10	4.71	
736865.953715277840	9.09	4.70	
736865.953726851850	9.09	4.70	
736865.953738425970	9.09	4.70	
736865.953749999990	9.08	4.70	
736865.953761574110	9.08	4.72	
736865.953773148130	9.09	4.75	
736865.953784722250	9.10	4.75	
736865.953796296260	9.10	4.74	
736865.953807870390	9.09	4.75	
736865.953819444400	9.08	4.75	
736865.953831018530	9.08	4.74	
736865.953842592540	9.07	4.73	
736865.953854166670	9.06	4.73	
736865.953865740680	9.05	4.73	
736865.953877314810	9.04	4.73	
736865.953888888940	9.04	4.73	
736865.953900462950	9.05	4.72	
736865.953912037080	9.05	4.71	
736865.953923611090	9.05	4.72	
736865.953935185210	9.04	4.73	
736865.953946759230	9.03	4.73	
736865.953958333350	9.04	4.73	
736865.953969907360	9.06	4.75	
736865.953981481490	9.08	4.75	
736865.953993055500	9.07	4.75	
736865.954004629630	9.07	4.74	
736865.954016203760	9.06	4.74	
736865.954027777770	9.07	4.74	
736865.954039351900	9.07	4.75	
736865.954050925910	9.06	4.78	
736865.954062500040	9.06	4.88	
736865.954074074050	9.06	4.88	
736865.954085648180	9.05	4.88	
736865.954097222190	9.05	4.89	
736865.954108796320	9.05	4.89	
736865.954120370330	9.04	4.89	
736865.954131944450	9.04	4.89	
736865.954143518470	9.03	4.89	
736865.954155092590	9.02	4.89	
736865.954166666720	9.01	4.88	
736865.954178240730	9.01	4.88	
736865.954189814860	9.00	4.87	
736865.954201388870	8.99	4.87	
736865.954212963000	8.99	4.89	
736865.954224537010	8.99	4.90	
736865.954236111140	8.99	4.90	
736865.954247685150	9.00	4.90	
736865.954259259280	8.99	4.90	
736865.954270833290	8.99	4.90	
736865.954282407420	8.99	4.89	
736865.954293981430	8.98	4.89	
736865.954305555560	8.97	4.88	
736865.954317129680	8.96	4.87	
736865.954328703690	8.98	4.88	
736865.954340277820	8.99	4.89	
736865.954351851830	8.99	4.89	
736865.954363425960	8.97	4.89	
736865.954374999970	8.97	4.88	
736865.954386574100	8.97	4.87	
736865.954398148110	8.96	4.86	
736865.954409722240	8.96	4.86	
736865.954421296250	8.96	4.85	
736865.954432870380	8.97	4.84	
736865.954444444390	8.98	4.85	
736865.954456018520	8.96	4.86	
736865.954467592640	8.95	4.87	
736865.954479166660	8.95	4.90	
736865.954490740780	8.96	4.92	
736865.954502314790	8.96	4.93	
736865.954513888920	8.96	4.93	
736865.954525462930	8.96	4.94	
736865.954537037060	8.96	4.94	
736865.954548611070	8.97	4.94	
736865.954560185200	8.97	4.94	
736865.954571759210	8.96	4.95	
736865.954583333340	8.96	4.96	
736865.954594907350	8.97	4.97	
736865.954606481480	8.98	4.97	
736865.954618055610	9.00	4.97	
736865.954629629620	9.03	4.97	
736865.954641203750	9.05	4.97	
736865.954652777760	9.05	4.97	
736865.954664351880	9.05	4.98	
736865.954675925900	9.06	4.99	
736865.954687500020	9.05	4.99	
736865.954699074030	9.05	4.99	
736865.954710648160	9.01	4.99	
736865.954722222170	8.97	4.98	
736865.954733796300	8.94	4.98	
736865.954745370430	8.93	4.98	
736865.954756944440	8.91	4.98	
736865.954768518570	8.90	4.97	
736865.954780092580	8.90	4.98	
736865.954791666710	8.91	4.98	
736865.954803240720	8.91	4.98	
736865.954814814850	8.91	4.98	
736865.954826388860	8.92	4.97	
736865.954837962990	8.93	4.98	
