"Blue","Green","Red","Date","Hour","Min","Date_Hr"
5.644e-05,3.682e-05,2.221e-05,2017-04-12,2,25,2017-04-12 02:25:00
5.644e-05,3.679e-05,2.165e-05,2017-04-12,2,26,2017-04-12 02:26:00
5.687e-05,3.687e-05,2.211e-05,2017-04-12,2,27,2017-04-12 02:27:00
5.641e-05,3.691e-05,2.198e-05,2017-04-12,2,28,2017-04-12 02:28:00
5.688e-05,3.689e-05,2.182e-05,2017-04-12,2,29,2017-04-12 02:29:00
5.515e-05,3.641e-05,2.177e-05,2017-04-12,2,30,2017-04-12 02:30:00
5.627e-05,3.619e-05,2.196e-05,2017-04-12,2,31,2017-04-12 02:31:00
5.504e-05,3.691e-05,2.256e-05,2017-04-12,2,32,2017-04-12 02:32:00
5.459e-05,3.664e-05,2.191e-05,2017-04-12,2,33,2017-04-12 02:33:00
5.639e-05,3.59e-05,2.133e-05,2017-04-12,2,34,2017-04-12 02:34:00
5.662e-05,3.641e-05,2.205e-05,2017-04-12,2,35,2017-04-12 02:35:00
5.505e-05,3.528e-05,2.157e-05,2017-04-12,2,36,2017-04-12 02:36:00
5.467e-05,3.609e-05,2.142e-05,2017-04-12,2,37,2017-04-12 02:37:00
5.543e-05,3.622e-05,2.174e-05,2017-04-12,2,38,2017-04-12 02:38:00
5.364e-05,3.612e-05,2.26e-05,2017-04-12,2,39,2017-04-12 02:39:00
5.332e-05,3.572e-05,2.146e-05,2017-04-12,2,40,2017-04-12 02:40:00
5.553e-05,3.53e-05,2.096e-05,2017-04-12,2,41,2017-04-12 02:41:00
5.51e-05,3.551e-05,2.207e-05,2017-04-12,2,42,2017-04-12 02:42:00
5.379e-05,3.489e-05,2.111e-05,2017-04-12,2,43,2017-04-12 02:43:00
5.38e-05,3.521e-05,2.142e-05,2017-04-12,2,44,2017-04-12 02:44:00
5.335e-05,3.499e-05,2.114e-05,2017-04-12,2,45,2017-04-12 02:45:00
5.485e-05,3.597e-05,2.18e-05,2017-04-12,2,46,2017-04-12 02:46:00
5.607e-05,3.624e-05,2.151e-05,2017-04-12,2,47,2017-04-12 02:47:00
5.434e-05,3.513e-05,2.147e-05,2017-04-12,2,48,2017-04-12 02:48:00
5.348e-05,3.513e-05,2.171e-05,2017-04-12,2,49,2017-04-12 02:49:00
5.338e-05,3.497e-05,2.106e-05,2017-04-12,2,50,2017-04-12 02:50:00
5.454e-05,3.52e-05,2.186e-05,2017-04-12,2,51,2017-04-12 02:51:00
5.387e-05,3.488e-05,2.127e-05,2017-04-12,2,52,2017-04-12 02:52:00
5.323e-05,3.539e-05,2.264e-05,2017-04-12,2,53,2017-04-12 02:53:00
