,Time Stamp,Raw Blue Data,Raw Green Data,Raw Red Data,S.A.E. (Blue:Green),S.A.E. (Green:Red),Blue Correction Factor,Green Correction Factor,Red Correction Factor,Corrected Blue Data,Corrected Green Data,Corrected Red Data
25,2017-06-19 18:14:00,6.136e-05,4.181e-05,2.397e-05,1.911702208471603,2.3068823689151015,1.158199887283385,1.1454955443580201,1.1165150081954496,71.0671450837085,47.89316870960882,26.762864746444926
26,2017-06-19 18:19:00,6.07e-05,4.053e-05,2.352e-05,2.0127565536912972,2.256537884908613,1.1588534875307517,1.1461207272033276,1.1163350665512433,70.34240669311662,46.45227307355087,26.25620076528524
27,2017-06-19 18:24:00,5.543e-05,3.773e-05,2.222e-05,1.9168988704085423,2.1954645633444367,1.1582351335096255,1.1455292581396417,1.1161042605855123,64.20097345043854,43.22081890960868,24.799836670210084
28,2017-06-19 18:29:00,5.257e-05,3.517e-05,2.031e-05,2.0030436801933464,2.276809536877142,1.1587934963609923,1.1460633443452968,1.116408612835689,60.91777410369737,40.307047820624085,22.674258926692843
29,2017-06-19 18:34:00,5.069e-05,3.383e-05,1.965e-05,2.0151456033993345,2.2527202315654784,1.1588681543277422,1.1461347563134925,1.1163210483645472,58.74302674287324,38.773738806085454,21.93570860036335
30,2017-06-19 18:39:00,4.867e-05,3.246e-05,1.886e-05,2.018502307106,2.2514540307366926,1.158888702610297,1.1461544111924578,1.116316387122526,56.40311315604315,37.20417218730717,21.053727061130836
31,2017-06-19 18:44:00,4.857e-05,2.7300000000000003e-05,2.525e-05,2.870969041293834,0.323685025330564,1.1623943755587962,1.1495076635779788,1.0946782670681865,56.45749482089072,31.381559215678823,27.64062624347171
32,2017-06-19 18:54:00,4.352e-05,2.926e-05,1.746e-05,1.9783616438932774,2.1409207235802876,1.1586384010524902,1.1459149923110774,1.1158858702149181,50.423943213804364,33.52947267502213,19.48336729395247
33,2017-06-19 18:59:00,4.321e-05,2.936e-05,1.8100000000000003e-05,1.925735819610062,2.0057934148480894,1.1582946509276388,1.1455861878438285,1.1152906276193133,50.04991186658328,33.6344104750948,20.186760359909574
34,2017-06-19 19:04:00,4.446e-05,2.958e-05,1.803e-05,2.030647525862859,2.0528163783381705,1.1589624767456332,1.1462249777566924,1.1155069503383126,51.527471716110846,33.90533484204296,20.112590314599775
