,Time Stamp,Raw Blue Data,Raw Green Data,Raw Red Data,S.A.E. (Blue:Red),Blue Correction Factor,Green Correction Factor,Red Correction Factor,Corrected Blue Data,Corrected Green Data,Corrected Red Data
2314,2017-04-12 21:34:00,9.127e-05,5.952e-05,3.459e-05,2.1959837032790706,1.3476451448328284,1.321647628121348,1.2844288549109588,12.299957236889224,7.866446682578264,4.442839409137006
2315,2017-04-12 21:35:00,9.008e-05,5.883e-05,3.496e-05,2.142198849501063,1.3466861581761824,1.3207992937712383,1.283734204319927,12.130948912851052,7.770262245256195,4.487934778302464
2316,2017-04-12 21:36:00,9.161e-05,5.897e-05,3.482e-05,2.1893997144787174,1.347530503676863,1.321546214791071,1.2843458135608046,12.34472694418374,7.793158028622946,4.472092122818721
2317,2017-04-12 21:37:00,9.245e-05,5.9699999999999994e-05,3.511e-05,2.191286097870215,1.3475634267820225,1.3215753390764045,1.2843696617074905,12.458223880599798,7.889804774286133,4.509421882254999
2318,2017-04-12 21:38:00,9.094e-05,5.923e-05,3.566e-05,2.118834176807771,1.3462532232599422,1.320416312883795,1.283420604028035,12.242826812325914,7.820825821210717,4.576677873963972
2319,2017-04-12 21:39:00,9.207e-05,5.933e-05,3.481e-05,2.2013860458722494,1.34773864890816,1.3217303432649108,1.2844965854270645,12.40862974049743,7.841826126590717,4.471332613871612
2320,2017-04-12 21:40:00,9.303e-05,5.899e-05,3.48e-05,2.2255132285418107,1.3481501327453045,1.3220943481977694,1.2847946474373038,12.541840684929566,7.799034560018642,4.471085373081817
2321,2017-04-12 21:41:00,9.383e-05,6.038e-05,3.574e-05,2.1845689790807907,1.3474459089998487,1.3214713810383278,1.2842845366473263,12.643084964145581,7.979044198709423,4.590032933977544
2322,2017-04-12 21:42:00,9.282e-05,5.973e-05,3.533e-05,2.186188478467399,1.347474314831634,1.3214965092741378,1.284305112666504,12.507256590267225,7.893298649894425,4.537449963050759
2323,2017-04-12 21:43:00,9.252e-05,6.011e-05,3.525e-05,2.183992253013288,1.3474357821780574,1.3214624226959737,1.2842772011930799,12.466475856711387,7.943310622825497,4.527077134205607
2324,2017-04-12 21:44:00,9.101e-05,6.016e-05,3.484e-05,2.1732278416484307,1.3472456924455933,1.3212942663941787,1.2841395079894362,12.261283046947344,7.948906306627379,4.473942045835195
2325,2017-04-12 21:45:00,9.212e-05,6.056e-05,3.522e-05,2.176112945282978,1.3472968416420015,1.3213395137602322,1.2841765583688858,12.411298505206119,8.002032095331966,4.5228698385752155
2326,2017-04-12 21:46:00,9.119e-05,5.976e-05,3.545e-05,2.13841546171918,1.3466167385729535,1.3207378841222281,1.2836839196073317,12.279798039046764,7.892729595514435,4.5506594950079915
2327,2017-04-12 21:47:00,9.318e-05,5.93e-05,3.571e-05,2.1707361888295984,1.3472013997169934,1.3212550843650326,1.2841074241539758,12.553222642562943,7.8350426502846435,4.5855476116538485
