,CRDS Time,Averaged Extinction
290,2017-04-10 20:21:24,11.082514052982539
291,2017-04-10 20:22:24,10.430244108896238
292,2017-04-10 20:23:24,10.67458165842771
293,2017-04-10 20:24:24,9.766689177437039
294,2017-04-10 20:25:24,9.980634787499575
295,2017-04-10 20:26:24,11.372789003761586
296,2017-04-10 20:27:24,10.569792399170684
297,2017-04-10 20:28:24,10.310106502322352
298,2017-04-10 20:29:24,9.65204336601086
299,2017-04-10 20:30:24,
300,2017-04-10 20:31:24,
301,2017-04-10 20:32:24,
302,2017-04-10 20:33:24,
303,2017-04-10 20:34:24,
304,2017-04-10 20:35:24,
305,2017-04-10 20:36:24,
306,2017-04-10 20:37:24,
307,2017-04-10 20:38:24,
308,2017-04-10 20:39:24,
309,2017-04-10 20:40:24,11.489566685047013
310,2017-04-10 20:41:24,10.810702932643562
311,2017-04-10 20:42:24,9.986681888595268
312,2017-04-10 20:43:24,11.470704973452202
313,2017-04-10 20:44:24,10.276560118910057
314,2017-04-10 20:45:24,11.31219408355704
315,2017-04-10 20:46:24,10.352472415260927
316,2017-04-10 20:47:24,10.700990389528808
317,2017-04-10 20:48:24,10.271969195003239
318,2017-04-10 20:49:24,10.548807122245783
319,2017-04-10 20:50:24,10.605900708636938
320,2017-04-10 20:51:24,10.469283338607523
321,2017-04-10 20:52:24,10.77381826551375
322,2017-04-10 20:53:24,11.393356925516468
323,2017-04-10 20:54:24,11.585007565392
324,2017-04-10 20:55:24,10.044728395038495
325,2017-04-10 20:56:24,11.470933847615914
326,2017-04-10 20:57:24,10.623981912055866
327,2017-04-10 20:58:24,12.390362391689592
328,2017-04-10 20:59:24,10.595898382902584
329,2017-04-10 21:00:24,
330,2017-04-10 21:01:24,
331,2017-04-10 21:02:24,
332,2017-04-10 21:03:24,
333,2017-04-10 21:04:24,
334,2017-04-10 21:05:24,
335,2017-04-10 21:06:24,
336,2017-04-10 21:07:24,
337,2017-04-10 21:08:24,
338,2017-04-10 21:09:24,
339,2017-04-10 21:10:24,11.598973608197443
340,2017-04-10 21:11:24,10.570108674188221
341,2017-04-10 21:12:24,10.12843484092978
342,2017-04-10 21:13:24,10.026496055573109
343,2017-04-10 21:14:24,10.054179464076457
344,2017-04-10 21:15:24,9.771623770475992
345,2017-04-10 21:16:24,10.255081049281841
346,2017-04-10 21:17:24,10.021448789464214
347,2017-04-10 21:18:24,10.127884419062218
348,2017-04-10 21:19:24,10.253641920549759
349,2017-04-10 21:20:24,9.511112442873111
350,2017-04-10 21:21:24,9.403135703457895
351,2017-04-10 21:22:24,10.105909638408177
352,2017-04-10 21:23:24,11.377068960775622
353,2017-04-10 21:24:24,10.167769139249279
354,2017-04-10 21:25:24,11.102403341282779
355,2017-04-10 21:26:24,11.792986429796063
356,2017-04-10 21:27:24,10.631823194492457
357,2017-04-10 21:28:24,10.546542804784519
358,2017-04-10 21:29:24,10.647945085248436
359,2017-04-10 21:30:24,
360,2017-04-10 21:31:24,
361,2017-04-10 21:32:24,
362,2017-04-10 21:33:24,
363,2017-04-10 21:34:24,
364,2017-04-10 21:35:24,
365,2017-04-10 21:36:24,
366,2017-04-10 21:37:24,
367,2017-04-10 21:38:24,
368,2017-04-10 21:39:24,
369,2017-04-10 21:40:24,11.196859010377274
370,2017-04-10 21:41:24,10.257600142417251
371,2017-04-10 21:42:24,10.776249811624856
372,2017-04-10 21:43:24,10.462174234514789
373,2017-04-10 21:44:24,10.043318723037599
374,2017-04-10 21:45:24,10.650143389806207
375,2017-04-10 21:46:24,10.356027112488466
376,2017-04-10 21:47:24,10.658966608665013
377,2017-04-10 21:48:24,11.022938661982458
378,2017-04-10 21:49:24,10.521121255940312
379,2017-04-10 21:50:24,10.371273676255703
380,2017-04-10 21:51:24,10.310205894305419
381,2017-04-10 21:52:24,10.863170591009997
382,2017-04-10 21:53:24,10.787547519830914
383,2017-04-10 21:54:24,10.902301888677206
384,2017-04-10 21:55:24,11.167952662814397
385,2017-04-10 21:56:24,10.3298769408051
386,2017-04-10 21:57:24,10.850359749224427
387,2017-04-10 21:58:24,10.73935765815105
388,2017-04-10 21:59:24,10.444093583001944
389,2017-04-10 22:00:24,
390,2017-04-10 22:01:24,
391,2017-04-10 22:02:24,
392,2017-04-10 22:03:24,
393,2017-04-10 22:04:24,
394,2017-04-10 22:05:24,
395,2017-04-10 22:06:24,
